area_title,state_code,aii,total_employment,gini,entropy,delta_creative_class,delta_total_emp
"Columbus, GA-AL",GA,0.08055272225248578,94970,0.4773,2.3102178250458447,8270,3680
"Decatur, IL",IL,0.0805141921864663,30730,0.4661,2.2657688959331628,-3740,-4310
"Springfield, MA-CT",MA,0.08045138578218886,265860,,,16420,32030
"Ocala, FL",FL,0.08039089302249106,94510,0.4495,2.3414923038280717,13190,22250
"Fayetteville-Springdale-Rogers, AR-MO",AR,0.08035669497056115,220720,,,23100,52370
"Tampa-St. Petersburg-Clearwater, FL",FL,0.08027135841258244,1236860,0.4787,2.304741827082187,128360,238160
"Killeen-Temple, TX",TX,0.08021086632715184,125010,0.4457,2.309022631802214,11020,16690
"Pensacola-Ferry Pass-Brent, FL",FL,0.08017807866799069,157280,0.4439,2.2627774965453833,15660,30800
"Kennewick-Richland, WA",WA,0.08017323658379201,101310,0.4258,2.324246416795073,4860,24500
"Alexandria, LA",LA,0.08016899717510921,46910,0.474,2.2705939606018846,-270,-2140
"Sioux Falls, SD",SD,0.08016253754738116,143130,0.429,,12390,24100
"Asheville, NC",NC,0.08013038149863977,172230,0.4707,2.2203353794777945,13070,27510
"Trenton, NJ",NJ,0.08006408169459173,204520,,,10720,21260
"San Antonio-New Braunfels, TX",TX,0.0800598706679313,921650,0.46,2.3032291384578567,91580,186680
"Burlington, NC",NC,0.08002647171248645,51150,0.4398,2.148405656076951,4150,8440
"Lubbock, TX",TX,0.08001521363437776,127750,0.4821,2.2857856513840025,13630,22800
"Victoria, TX",TX,0.08000819121691526,30120,0.4489,2.3020437105551235,1420,-11920
"Topeka, KS",KS,0.07993527745156045,91880,0.4382,2.2977670301615714,3900,3800
"Beckley, WV",WV,0.07987029165508709,31610,0.4741,2.2610571707873803,,
"Bismarck, ND",ND,0.07986087046417936,58250,0.4313,2.3515337106150107,4520,6420
"Lafayette-West Lafayette, IN",IN,0.0798535265008566,72190,0.4698,2.081866685310392,,
"Johnstown, PA",PA,0.07980442887129563,37220,0.4513,2.2412377319159154,-1180,-8150
"Lincoln, NE",NE,0.07977303735371591,152200,0.4475,2.283468400955688,11280,10410
"Bangor, ME",ME,0.07975254007695194,52410,0.4559,2.1649314618107276,2180,820
