"Label (Grouping)","Total:!!Agriculture, forestry, fishing and hunting, and mining","Total:!!Construction","Total:!!Manufacturing","Total:!!Wholesale trade","Total:!!Retail trade","Total:!!Transportation and warehousing, and utilities","Total:!!Information","Total:!!Finance and insurance, and real estate and rental and leasing","Total:!!Professional, scientific, and management, and administrative and waste management services","Total:!!Educational services, and health care and social assistance","Total:!!Arts, entertainment, and recreation, and accommodation and food services","Total:!!Other services, except public administration","Total:!!Public administration"
"    Estimate","937","12,236","5,948","2,630","15,189","6,280","521","8,716","22,599","26,031","17,273","5,843","9,644"
"Dallas-Fort Worth-Arlington, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","32,212","341,938","387,019","97,818","463,448","316,082","91,073","408,242","616,367","838,167","333,268","198,689","113,881"
"Dalton, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","878","6,673","18,721","1,959","8,550","3,853","691","2,155","4,816","13,005","4,613","2,675","2,347"
"Daphne-Fairhope-Foley, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,418","9,091","15,974","2,852","15,353","6,270","777","9,817","13,980","19,193","9,611","6,020","5,230"
"Davenport-Moline-Rock Island, IA-IL Metro Area","","","","","","","","","","","","",""
"    Estimate","2,103","12,454","33,867","3,793","18,177","12,064","2,084","10,150","15,219","47,502","14,021","7,727","9,184"
"Dayton-Kettering-Beavercreek, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","1,093","19,458","54,041","7,277","38,425","25,699","4,936","21,649","43,193","94,838","35,203","19,570","26,915"
"Decatur, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,463","5,107","16,536","1,350","9,683","4,728","1,618","2,410","8,884","13,739","4,281","2,833","2,352"
"Decatur, IL Metro Area","","","","","","","","","","","","",""
"    Estimate","869","2,787","7,872","1,065","4,930","2,954","461","1,998","3,649","10,729","3,199","3,040","1,144"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,155","27,300","19,994","9,218","38,108","18,124","4,878","26,503","43,252","71,539","32,191","14,437","12,836"
"Denver-Aurora-Centennial, CO Metro Area","","","","","","","","","","","","",""
"    Estimate","19,029","128,660","111,346","38,606","162,980","91,923","54,050","136,285","307,215","345,613","157,546","80,692","72,686"
