State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Arizona,12/1/2020,5705,3508,61.5,-0.5,3276,232,37.8,6.6,154,0.7,78,1.50,80,2.8,112,3.9
Arkansas,12/1/2020,2354,1335,56.7,-1.2,1267,68,41.0,5.1,64,0.0,4,1.06,37,2.9,62,4.9
California,12/1/2020,31172,18736,60.1,-2.9,17040,1696,97.0,9.1,716,-11.4,980,2.37,280,1.7,579,3.6
Colorado,12/1/2020,4614,3113,67.5,-1.3,2915,199,100.6,6.4,113,-10.3,86,1.76,69,2.6,99,3.7
Connecticut,12/1/2020,2923,1824,62.4,-4.0,1691,134,78.6,7.3,60,-10.4,74,2.23,26,1.6,48,3.0
Delaware,12/1/2020,802,489,61.0,0.1,462,27,55.2,5.6,20,-9.1,7,1.36,13,2.9,20,4.5
District of Columbia,12/1/2020,547,376,68.8,-2.4,347,29,27.5,7.7,31,3.3,-2,0.93,13,1.8,22,3.0
Florida,12/1/2020,17636,10146,57.5,-1.9,9498,648,110.2,6.4,417,-3.5,231,1.55,227,2.6,341,4.0
Georgia,12/1/2020,8352,5188,62.1,-0.8,4926,262,39.4,5.0,257,8.4,5,1.02,132,3.0,210,4.7
Hawaii,12/1/2020,1125,665,59.1,-2.1,596,68,353.9,10.3,32,6.7,36,2.14,10,1.8,26,4.8
Idaho,12/1/2020,1446,913,63.1,-1.0,875,38,51.5,4.2,41,5.1,-3,0.93,19,2.5,34,4.4
Illinois,12/1/2020,10113,6313,62.4,-1.9,5831,481,92.3,7.6,261,0.8,220,1.84,128,2.3,230,4.1
Indiana,12/1/2020,5317,3371,63.4,-0.9,3203,168,46.1,5.0,156,-0.6,12,1.08,78,2.6,134,4.4
Iowa,12/1/2020,2506,1667,66.5,-2.7,1595,71,57.7,4.3,71,-7.8,0,1.00,34,2.2,65,4.3
Kansas,12/1/2020,2259,1505,66.6,-0.5,1441,64,30.2,4.3,67,-1.5,-3,0.96,30,2.2,49,3.6
Kentucky,12/1/2020,3533,2007,56.8,-1.8,1912,95,11.1,4.7,103,6.2,-8,0.92,64,3.5,102,5.5
Louisiana,12/1/2020,3590,2073,57.7,-0.5,1920,153,55.9,7.4,100,9.9,53,1.53,53,2.9,94,5.1
Maine,12/1/2020,1135,673,59.3,-2.5,645,28,26.5,4.2,28,-9.7,0,1.01,12,2.0,25,4.1
Maryland,12/1/2020,4881,3190,65.4,-3.9,2977,213,81.4,6.7,146,-11.0,67,1.46,50,1.9,130,5.0
Massachusetts,12/1/2020,5739,3762,65.6,-0.5,3469,293,175.3,7.8,150,-9.1,143,1.96,58,1.7,106,3.1
Michigan,12/1/2020,8072,4718,58.5,-2.8,4387,331,76.8,7.0,215,0.0,116,1.54,103,2.5,200,4.9
Minnesota,12/1/2020,4498,3077,68.4,-1.5,2927,149,35.5,4.8,122,-10.9,27,1.22,54,1.9,91,3.3
Mississippi,12/1/2020,2282,1256,55.0,-0.9,1173,83,13.1,6.6,65,25.0,18,1.28,34,3.0,55,4.9
Missouri,12/1/2020,4852,3051,62.9,-1.1,2897,153,47.3,5.0,127,3.3,26,1.21,66,2.4,111,4.0
Montana,12/1/2020,874,545,62.4,-1.3,522,23,18.3,4.2,27,-3.6,-4,0.85,13,2.7,22,4.6
Nebraska,12/1/2020,1509,1046,69.3,-0.8,1013,33,2.3,3.1,53,6.0,-20,0.61,26,2.6,45,4.5
Nevada,12/1/2020,2479,1508,60.8,-3.5,1361,147,114.0,9.7,68,-6.8,79,2.16,38,2.9,63,4.9
New Hampshire,12/1/2020,1145,760,66.4,-2.1,726,35,71.6,4.6,31,-8.8,4,1.12,13,2.0,24,3.7
New Jersey,12/1/2020,7405,4624,62.4,-1.9,4290,334,73.7,7.2,213,8.1,121,1.57,84,2.2,188,4.8
New Mexico,12/1/2020,1668,936,56.1,-1.9,857,79,56.7,8.5,41,-14.6,38,1.93,17,2.1,28,3.5
New York,12/1/2020,16165,9527,58.9,-2.0,8697,829,103.9,8.7,323,-24.5,506,2.57,120,1.4,266,3.0
North Carolina,12/1/2020,8275,4872,58.9,-2.4,4590,282,48.0,5.8,218,-6.4,64,1.29,132,3.0,202,4.5
North Dakota,12/1/2020,596,409,68.6,-0.5,391,18,99.8,4.4,19,-20.8,-1,0.95,12,2.9,17,4.2
Ohio,12/1/2020,9341,5748,61.5,-2.0,5385,363,34.6,6.3,244,-4.7,119,1.49,125,2.4,223,4.2
Oklahoma,12/1/2020,3051,1859,60.9,0.3,1762,97,67.5,5.2,87,6.1,10,1.12,40,2.5,69,4.2
Oregon,12/1/2020,3456,2137,61.9,0.8,1996,142,89.5,6.6,111,2.8,31,1.28,38,2.1,79,4.3
Pennsylvania,12/1/2020,10483,6509,62.1,-0.8,6008,501,62.4,7.7,264,-6.4,237,1.90,104,1.8,209,3.7
Rhode Island,12/1/2020,899,570,63.4,-0.8,531,39,86.5,6.9,21,-12.5,18,1.87,9,1.9,22,4.7
South Carolina,12/1/2020,4091,2352,57.5,0.0,2237,115,67.8,4.9,124,13.8,-9,0.92,68,3.2,105,5.0
South Dakota,12/1/2020,679,467,68.7,-0.2,452,15,25.9,3.2,23,0.0,-8,0.64,10,2.3,19,4.4
Tennessee,12/1/2020,5496,3332,60.6,-0.7,3143,190,63.5,5.7,149,8.0,41,1.27,86,2.8,145,4.8
Texas,12/1/2020,22347,14143,63.3,-0.6,13162,981,96.2,6.9,550,4.6,431,1.78,313,2.5,575,4.7
Utah,12/1/2020,2455,1667,67.9,-0.3,1607,60,49.2,3.6,79,6.8,-19,0.76,35,2.2,55,3.5
Vermont,12/1/2020,538,332,61.7,-4.1,317,15,87.7,4.4,12,-29.4,3,1.22,7,2.4,11,3.8
Virginia,12/1/2020,6789,4309,63.5,-2.2,4091,218,67.5,5.1,207,-5.5,11,1.06,97,2.5,190,4.9
Washington,12/1/2020,6146,3880,63.1,-2.2,3622,258,69.7,6.6,147,-25.4,111,1.75,59,1.8,106,3.2
West Virginia,12/1/2020,1445,776,53.7,-1.2,727,49,16.7,6.3,47,-4.1,2,1.04,19,2.8,33,4.9
Wisconsin,12/1/2020,4713,3105,65.9,0.0,2956,148,60.4,4.8,127,-20.6,21,1.17,58,2.0,119,4.2
Wyoming,12/1/2020,452,292,64.5,-1.2,276,16,14.3,5.4,15,-16.7,1,1.06,7,2.6,12,4.4
Alabama,11/1/2020,3978,2277,57.2,0.0,2167,111,49.1,4.9,104,5.1,7,1.06,62,3.1,102,5.1
Alaska,11/1/2020,545,347,63.6,-1.2,322,25,30.4,7.2,22,-4.3,3,1.14,7,2.3,19,6.2
Arizona,11/1/2020,5698,3502,61.5,-0.5,3265,237,41.1,6.8,162,5.9,75,1.46,76,2.7,128,4.5
Arkansas,11/1/2020,2353,1336,56.8,-1.1,1266,70,45.2,5.2,60,-6.3,10,1.16,36,2.9,59,4.7
California,11/1/2020,31189,18674,59.9,-3.2,16978,1695,97.0,9.1,706,-12.6,989,2.40,314,1.9,683,4.2
Colorado,11/1/2020,4611,3100,67.2,-1.5,2906,194,95.8,6.3,118,-6.3,76,1.64,55,2.1,124,4.7
Connecticut,11/1/2020,2920,1830,62.7,-3.8,1693,137,83.3,7.5,63,-6.0,74,2.17,25,1.6,55,3.5
Delaware,11/1/2020,801,487,60.8,-0.1,461,26,48.2,5.3,23,4.5,3,1.13,13,2.9,22,4.9
District of Columbia,11/1/2020,547,378,69.0,-2.2,348,30,30.7,7.9,30,0.0,0,0.99,14,1.9,19,2.6
Florida,11/1/2020,17618,10114,57.4,-2.1,9444,669,117.2,6.6,424,-1.9,245,1.58,266,3.1,342,4.0
Georgia,11/1/2020,8346,5195,62.2,-0.7,4922,272,44.8,5.2,249,5.1,23,1.09,126,2.8,221,5.0
Hawaii,11/1/2020,1125,653,58.1,-3.1,584,69,360.4,10.6,33,10.0,36,2.10,11,2.1,33,6.2
Idaho,11/1/2020,1442,910,63.1,-1.0,872,38,52.9,4.2,40,2.6,-2,0.96,21,2.7,42,5.5
Illinois,11/1/2020,10118,6304,62.3,-2.0,5808,496,98.0,7.9,255,-1.5,241,1.94,120,2.1,224,3.9
Indiana,11/1/2020,5315,3372,63.4,-0.9,3196,176,53.4,5.2,150,-4.5,26,1.18,70,2.3,115,3.8
Iowa,11/1/2020,2505,1661,66.3,-2.9,1590,71,57.5,4.3,72,-6.5,-1,0.99,38,2.5,60,3.9
Kansas,11/1/2020,2258,1506,66.7,-0.4,1438,68,37.6,4.5,67,-1.5,1,1.01,29,2.1,49,3.6
Kentucky,11/1/2020,3534,2005,56.7,-1.9,1909,96,12.2,4.8,103,6.2,-7,0.93,66,3.6,111,6.0
Louisiana,11/1/2020,3591,2070,57.6,-0.6,1912,158,60.7,7.6,101,11.0,57,1.56,46,2.5,95,5.2
Maine,11/1/2020,1133,668,58.9,-2.9,642,26,17.8,3.9,30,-3.2,-4,0.88,11,1.8,26,4.3
Maryland,11/1/2020,4880,3189,65.3,-3.9,2979,210,79.3,6.6,144,-12.2,66,1.46,52,2.0,100,3.9
Massachusetts,11/1/2020,5738,3766,65.6,-0.4,3459,307,187.9,8.1,150,-9.1,157,2.05,57,1.7,119,3.5
Michigan,11/1/2020,8073,4806,59.5,-1.8,4464,342,82.6,7.1,187,-13.0,155,1.83,116,2.8,196,4.8
Minnesota,11/1/2020,4497,3100,68.9,-1.0,2941,159,44.3,5.1,128,-6.6,31,1.24,51,1.8,96,3.4
Mississippi,11/1/2020,2283,1255,55.0,-0.9,1171,84,14.6,6.7,61,17.3,23,1.38,33,2.9,55,4.9
Missouri,11/1/2020,4851,3053,62.9,-1.0,2895,158,51.3,5.2,127,3.3,31,1.24,62,2.2,113,4.0
Montana,11/1/2020,873,545,62.5,-1.2,521,24,23.3,4.4,26,-7.1,-2,0.92,13,2.7,26,5.4
Nebraska,11/1/2020,1509,1046,69.3,-0.8,1013,33,3.6,3.1,47,-6.0,-14,0.70,25,2.5,38,3.8
Nevada,11/1/2020,2476,1506,60.8,-3.5,1351,155,126.6,10.3,77,5.5,78,2.02,31,2.4,74,5.8
New Hampshire,11/1/2020,1145,761,66.5,-2.0,725,37,81.5,4.8,32,-5.9,5,1.14,12,1.9,25,3.9
New Jersey,11/1/2020,7404,4601,62.1,-2.2,4270,330,71.8,7.2,213,8.1,117,1.55,102,2.6,216,5.5
New Mexico,11/1/2020,1667,934,56.0,-2.0,856,78,55.1,8.4,42,-12.5,36,1.87,18,2.3,37,4.7
New York,11/1/2020,16181,9523,58.9,-2.0,8671,852,109.6,8.9,335,-21.7,517,2.54,127,1.4,290,3.3
North Carolina,11/1/2020,8265,4856,58.8,-2.5,4576,281,47.1,5.8,254,9.0,27,1.10,133,3.0,250,5.6
North Dakota,11/1/2020,596,409,68.7,-0.4,390,19,108.7,4.6,19,-20.8,0,0.99,11,2.7,17,4.1
Ohio,11/1/2020,9343,5752,61.6,-2.0,5376,376,39.3,6.5,248,-3.1,128,1.52,129,2.4,220,4.2
Oklahoma,11/1/2020,3050,1858,60.9,0.3,1758,100,71.7,5.4,84,2.4,16,1.19,44,2.7,72,4.4
Oregon,11/1/2020,3454,2134,61.8,0.8,1992,142,90.1,6.7,94,-13.0,48,1.51,40,2.2,81,4.4
Pennsylvania,11/1/2020,10480,6520,62.2,-0.7,6002,518,67.9,7.9,287,1.8,231,1.81,78,1.4,187,3.3
Rhode Island,11/1/2020,898,568,63.2,-0.9,528,40,88.8,7.0,25,4.2,15,1.59,8,1.7,23,4.9
South Carolina,11/1/2020,4086,2352,57.5,0.0,2233,118,73.4,5.0,124,13.8,-6,0.95,66,3.1,103,4.9
South Dakota,11/1/2020,679,467,68.8,-0.1,451,15,30.6,3.3,23,0.0,-8,0.67,10,2.3,18,4.2
Tennessee,11/1/2020,5492,3332,60.7,-0.7,3133,199,71.4,6.0,150,8.7,49,1.32,83,2.7,145,4.8
Texas,11/1/2020,22321,14114,63.2,-0.6,13128,986,97.1,7.0,564,7.2,422,1.75,312,2.5,541,4.4
Utah,11/1/2020,2451,1665,67.9,-0.3,1601,63,56.3,3.8,68,-8.1,-5,0.93,36,2.3,77,4.9
Vermont,11/1/2020,537,332,61.7,-4.1,317,14,84.4,4.3,16,-5.9,-2,0.90,6,2.1,13,4.5
Virginia,11/1/2020,6787,4310,63.5,-2.2,4081,229,75.7,5.3,211,-3.7,18,1.09,92,2.4,172,4.4
Washington,11/1/2020,6144,3878,63.1,-2.2,3613,265,74.2,6.8,136,-31.0,129,1.95,57,1.7,115,3.5
West Virginia,11/1/2020,1445,776,53.7,-1.3,725,51,20.6,6.5,47,-4.1,4,1.08,20,3.0,35,5.2
Wisconsin,11/1/2020,4713,3103,65.8,-0.1,2951,152,64.4,4.9,127,-20.6,25,1.20,60,2.1,106,3.7
Wyoming,11/1/2020,452,292,64.6,-1.1,276,16,15.0,5.5,16,-11.1,0,1.00,8,2.9,14,5.1
Alabama,10/1/2020,3976,2284,57.4,0.2,2164,120,61.8,5.3,102,3.0,18,1.18,61,3.1,86,4.3
Alaska,10/1/2020,545,345,63.3,-1.4,320,25,31.3,7.3,21,-8.7,4,1.20,8,2.7,20,6.8
Arizona,10/1/2020,5690,3496,61.5,-0.5,3250,246,46.6,7.0,158,3.3,88,1.56,78,2.8,139,4.9
Arkansas,10/1/2020,2352,1337,56.9,-1.0,1264,73,52.2,5.5,58,-9.4,15,1.26,34,2.7,55,4.4
California,10/1/2020,31202,18642,59.7,-3.3,16903,1738,102.0,9.3,666,-17.6,1072,2.61,285,1.8,685,4.3
Colorado,10/1/2020,4607,3084,66.9,-1.8,2893,192,93.5,6.2,105,-16.7,87,1.82,59,2.2,113,4.3
Connecticut,10/1/2020,2918,1839,63.0,-3.4,1695,145,93.4,7.9,57,-14.9,88,2.54,25,1.6,60,3.8
Delaware,10/1/2020,800,484,60.5,-0.4,459,25,42.4,5.2,21,-4.5,4,1.19,10,2.3,20,4.5
District of Columbia,10/1/2020,547,379,69.2,-1.9,348,31,35.4,8.1,25,-16.7,6,1.23,12,1.6,15,2.1
Florida,10/1/2020,17596,10097,57.4,-2.1,9376,721,134.0,7.1,395,-8.6,326,1.83,218,2.6,334,3.9
Georgia,10/1/2020,8339,5205,62.4,-0.5,4917,288,53.3,5.5,240,1.3,48,1.20,126,2.9,199,4.5
Hawaii,10/1/2020,1125,642,57.0,-4.2,568,73,387.3,11.5,17,-43.3,56,4.32,22,4.3,18,3.5
Idaho,10/1/2020,1438,908,63.1,-1.0,867,40,59.9,4.4,35,-10.3,5,1.15,18,2.4,37,4.9
Illinois,10/1/2020,10122,6297,62.2,-2.1,5778,519,107.3,8.2,232,-10.4,287,2.24,123,2.2,241,4.3
Indiana,10/1/2020,5312,3369,63.4,-0.9,3179,189,64.8,5.6,147,-6.4,42,1.29,79,2.6,115,3.8
Iowa,10/1/2020,2504,1654,66.0,-3.2,1581,72,60.0,4.4,68,-11.7,4,1.06,32,2.1,68,4.5
Kansas,10/1/2020,2258,1505,66.7,-0.4,1433,72,46.0,4.8,60,-11.8,12,1.20,28,2.1,46,3.4
Kentucky,10/1/2020,3533,2001,56.6,-1.9,1904,97,13.7,4.8,95,-2.1,2,1.02,58,3.1,104,5.6
Louisiana,10/1/2020,3592,2068,57.6,-0.7,1903,164,67.5,8.0,92,1.1,72,1.79,61,3.4,79,4.4
Maine,10/1/2020,1132,663,58.6,-3.2,638,26,14.2,3.8,32,3.2,-6,0.80,10,1.7,26,4.3
Maryland,10/1/2020,4879,3192,65.4,-3.8,2978,213,81.8,6.7,140,-14.6,73,1.52,44,1.7,66,2.6
Massachusetts,10/1/2020,5736,3768,65.7,-0.4,3440,328,207.4,8.7,137,-17.0,191,2.39,51,1.5,111,3.3
Michigan,10/1/2020,8074,4823,59.7,-1.6,4459,364,94.2,7.5,206,-4.2,158,1.77,105,2.6,188,4.6
Minnesota,10/1/2020,4496,3126,69.5,-0.4,2953,172,56.3,5.5,107,-21.9,65,1.61,43,1.6,80,2.9
Mississippi,10/1/2020,2283,1252,54.9,-1.1,1167,86,16.7,6.9,62,19.2,24,1.38,35,3.1,52,4.7
Missouri,10/1/2020,4848,3058,63.1,-0.9,2892,166,59.8,5.4,112,-8.9,54,1.49,74,2.7,114,4.1
Montana,10/1/2020,871,546,62.6,-1.0,520,25,31.7,4.7,25,-10.7,0,1.02,13,2.7,25,5.3
Nebraska,10/1/2020,1508,1046,69.3,-0.8,1012,34,7.5,3.3,46,-8.0,-12,0.74,24,2.4,39,3.9
Nevada,10/1/2020,2473,1505,60.9,-3.4,1337,169,146.0,11.2,71,-2.7,98,2.37,35,2.8,86,6.8
New Hampshire,10/1/2020,1144,762,66.6,-1.9,722,40,96.5,5.2,30,-11.8,10,1.32,10,1.6,24,3.7
New Jersey,10/1/2020,7403,4563,61.6,-2.7,4239,324,68.4,7.1,193,-2.0,131,1.68,88,2.3,176,4.5
New Mexico,10/1/2020,1667,932,55.9,-2.1,854,79,55.6,8.4,42,-12.5,37,1.87,15,1.9,36,4.6
New York,10/1/2020,16193,9506,58.7,-2.2,8629,877,115.6,9.2,314,-26.6,563,2.79,114,1.3,305,3.5
North Carolina,10/1/2020,8255,4844,58.7,-2.6,4553,291,52.7,6.0,234,0.4,57,1.24,102,2.3,238,5.4
North Dakota,10/1/2020,596,410,68.8,-0.4,390,20,119.9,4.9,18,-25.0,2,1.11,11,2.7,17,4.2
Ohio,10/1/2020,9344,5749,61.5,-2.0,5352,397,47.1,6.9,230,-10.2,167,1.73,118,2.2,202,3.8
Oklahoma,10/1/2020,3047,1855,60.9,0.2,1752,103,77.3,5.5,72,-12.2,31,1.43,40,2.5,66,4.1
Oregon,10/1/2020,3452,2131,61.7,0.7,1985,147,96.2,6.9,98,-9.3,49,1.50,37,2.0,77,4.2
Pennsylvania,10/1/2020,10476,6525,62.3,-0.6,5988,537,74.1,8.2,260,-7.8,277,2.07,98,1.7,211,3.8
Rhode Island,10/1/2020,898,565,62.9,-1.3,526,40,88.5,7.0,18,-25.0,22,2.20,8,1.7,19,4.1
South Carolina,10/1/2020,4081,2350,57.6,0.1,2225,125,82.7,5.3,123,12.8,2,1.01,63,3.0,102,4.9
South Dakota,10/1/2020,678,466,68.8,-0.1,450,16,37.0,3.4,21,-8.7,-5,0.76,10,2.3,17,4.0
Tennessee,10/1/2020,5488,3326,60.6,-0.7,3114,212,83.2,6.4,144,4.3,68,1.47,87,2.9,145,4.8
Texas,10/1/2020,22291,14076,63.1,-0.7,13073,1003,100.7,7.1,594,12.9,409,1.69,332,2.7,538,4.4
Utah,10/1/2020,2445,1662,67.9,-0.3,1594,67,66.6,4.1,68,-8.1,-1,0.99,34,2.2,71,4.6
Vermont,10/1/2020,537,332,61.8,-4.1,317,15,89.8,4.5,15,-11.8,0,0.98,5,1.7,14,4.9
Virginia,10/1/2020,6784,4316,63.6,-2.0,4065,251,92.7,5.8,187,-14.6,64,1.34,82,2.1,156,4.0
Washington,10/1/2020,6141,3880,63.2,-2.2,3600,279,84.0,7.2,120,-39.1,159,2.33,53,1.6,108,3.3
West Virginia,10/1/2020,1445,776,53.7,-1.3,722,54,27.6,6.9,47,-4.1,7,1.14,21,3.1,32,4.8
Wisconsin,10/1/2020,4713,3099,65.8,-0.1,2940,159,71.9,5.1,122,-23.8,37,1.30,54,1.9,109,3.8
Wyoming,10/1/2020,452,293,64.8,-0.9,276,16,17.9,5.6,13,-27.8,3,1.26,6,2.2,14,5.2
Alabama,9/1/2020,3974,2291,57.7,0.4,2156,135,82.4,5.9,106,7.1,29,1.28,52,2.6,84,4.2
Alaska,9/1/2020,545,344,63.1,-1.6,318,26,36.0,7.6,19,-17.4,7,1.37,8,2.8,18,6.2
Arizona,9/1/2020,5681,3492,61.5,-0.5,3228,264,57.2,7.6,157,2.6,107,1.68,65,2.3,128,4.5
Arkansas,9/1/2020,2350,1342,57.1,-0.8,1261,80,67.4,6.0,57,-10.9,23,1.41,32,2.6,56,4.5
California,9/1/2020,31212,18688,59.9,-3.1,16821,1867,116.9,10.0,635,-21.4,1232,2.94,252,1.6,621,3.9
Colorado,9/1/2020,4603,3069,66.7,-2.1,2874,195,96.6,6.3,101,-19.8,94,1.93,57,2.2,107,4.1
Connecticut,9/1/2020,2914,1859,63.8,-2.7,1696,164,118.9,8.8,56,-16.4,108,2.92,22,1.4,62,4.0
Delaware,9/1/2020,798,493,61.8,0.9,456,37,112.8,7.6,22,0.0,15,1.70,9,2.0,22,5.0
District of Columbia,9/1/2020,547,380,69.5,-1.7,348,32,41.0,8.4,31,3.3,1,1.03,14,1.9,23,3.1
Florida,9/1/2020,17572,10110,57.5,-1.9,9289,821,166.5,8.1,377,-12.7,444,2.18,194,2.3,316,3.8
Georgia,9/1/2020,8331,4958,59.5,-3.4,4643,315,67.4,6.3,256,8.0,59,1.23,153,3.5,213,4.9
Hawaii,9/1/2020,1125,621,55.2,-6.0,537,84,454.5,13.5,19,-36.7,65,4.40,12,2.3,18,3.4
Idaho,9/1/2020,1434,906,63.2,-0.9,861,45,79.1,5.0,35,-10.3,10,1.29,17,2.2,35,4.6
Illinois,9/1/2020,10124,6314,62.4,-1.9,5738,577,130.2,9.1,224,-13.5,353,2.57,103,1.8,248,4.4
Indiana,9/1/2020,5309,3368,63.4,-0.9,3150,218,89.7,6.5,139,-11.5,79,1.57,64,2.1,131,4.4
Iowa,9/1/2020,2503,1649,65.9,-3.3,1571,78,73.3,4.7,61,-20.8,17,1.28,33,2.2,61,4.1
Kansas,9/1/2020,2257,1505,66.7,-0.4,1426,80,62.0,5.3,63,-7.4,17,1.26,25,1.8,52,3.8
Kentucky,9/1/2020,3532,1996,56.5,-2.1,1896,101,18.0,5.0,97,0.0,4,1.04,56,3.0,97,5.3
Louisiana,9/1/2020,3592,2071,57.6,-0.6,1891,180,83.5,8.7,99,8.8,81,1.82,51,2.8,87,4.8
Maine,9/1/2020,1131,660,58.4,-3.5,633,27,20.1,4.1,25,-19.4,2,1.07,12,2.0,26,4.4
Maryland,9/1/2020,4877,3202,65.7,-3.6,2977,226,92.2,7.0,138,-15.9,88,1.63,47,1.8,94,3.7
Massachusetts,9/1/2020,5733,3788,66.1,0.0,3411,377,253.7,10.0,137,-17.0,240,2.75,45,1.4,132,4.0
Michigan,9/1/2020,8073,4866,60.3,-1.0,4440,426,127.3,8.7,218,1.4,208,1.95,103,2.6,206,5.1
Minnesota,9/1/2020,4494,3156,70.2,0.3,2960,196,77.7,6.2,112,-18.2,84,1.75,40,1.5,101,3.7
Mississippi,9/1/2020,2283,1248,54.7,-1.2,1159,89,21.1,7.1,63,21.2,26,1.41,39,3.5,62,5.6
Missouri,9/1/2020,4846,3070,63.4,-0.6,2886,184,76.5,6.0,118,-4.1,66,1.56,65,2.3,123,4.4
Montana,9/1/2020,870,546,62.8,-0.8,518,28,47.6,5.2,22,-21.4,6,1.29,12,2.6,21,4.5
Nebraska,9/1/2020,1508,1047,69.4,-0.7,1009,38,18.5,3.6,44,-12.0,-6,0.86,22,2.2,40,4.1
Nevada,9/1/2020,2470,1511,61.2,-3.1,1318,193,181.5,12.8,62,-15.1,131,3.11,25,2.0,80,6.4
New Hampshire,9/1/2020,1143,763,66.8,-1.7,717,46,128.2,6.0,30,-11.8,16,1.53,9,1.4,23,3.6
New Jersey,9/1/2020,7400,4532,61.2,-3.1,4197,336,74.5,7.4,159,-19.3,177,2.11,63,1.7,179,4.7
New Mexico,9/1/2020,1666,931,55.9,-2.1,850,81,60.4,8.7,36,-25.0,45,2.25,19,2.4,28,3.6
New York,9/1/2020,16204,9539,58.9,-2.0,8571,968,138.0,10.1,341,-20.3,627,2.84,126,1.5,317,3.7
North Carolina,9/1/2020,8243,4843,58.8,-2.5,4520,323,69.3,6.7,208,-10.7,115,1.55,105,2.4,225,5.1
North Dakota,9/1/2020,596,411,68.9,-0.2,389,22,139.2,5.3,18,-25.0,4,1.20,9,2.2,19,4.7
Ohio,9/1/2020,9343,5751,61.6,-2.0,5308,443,64.1,7.7,236,-7.8,207,1.88,106,2.0,224,4.3
Oklahoma,9/1/2020,3045,1853,60.9,0.2,1743,111,91.3,6.0,86,4.9,25,1.29,41,2.5,67,4.1
Oregon,9/1/2020,3450,2132,61.8,0.8,1972,160,114.0,7.5,94,-13.0,66,1.70,36,2.0,71,3.9
Pennsylvania,9/1/2020,10471,6537,62.4,-0.5,5959,578,87.2,8.8,247,-12.4,331,2.34,80,1.4,217,3.9
Rhode Island,9/1/2020,898,578,64.3,0.1,521,56,167.4,9.7,19,-20.8,37,2.96,7,1.5,20,4.4
South Carolina,9/1/2020,4075,2348,57.6,0.1,2212,136,99.6,5.8,115,5.5,21,1.18,60,2.9,106,5.1
South Dakota,9/1/2020,677,466,68.8,-0.1,448,18,51.0,3.8,18,-21.7,0,0.98,9,2.1,17,4.0
Tennessee,9/1/2020,5483,3320,60.5,-0.8,3083,237,104.5,7.1,142,2.9,95,1.67,85,2.9,141,4.7
Texas,9/1/2020,22260,14065,63.2,-0.7,12983,1082,116.4,7.7,482,-8.4,600,2.24,276,2.3,546,4.5
Utah,9/1/2020,2440,1659,68.0,-0.2,1584,75,85.5,4.5,66,-10.8,9,1.14,38,2.5,70,4.6
Vermont,9/1/2020,536,333,62.0,-3.8,316,16,112.0,5.0,13,-23.5,3,1.27,4,1.4,13,4.6
Virginia,9/1/2020,6780,4327,63.8,-1.8,4042,286,119.1,6.6,210,-4.1,76,1.36,67,1.8,170,4.4
Washington,9/1/2020,6137,3895,63.5,-1.9,3583,312,105.5,8.0,122,-38.1,190,2.56,53,1.6,113,3.5
West Virginia,9/1/2020,1445,777,53.8,-1.2,718,59,40.2,7.6,47,-4.1,12,1.25,19,2.9,32,4.8
Wisconsin,9/1/2020,4711,3102,65.8,-0.1,2923,178,92.7,5.7,122,-23.8,56,1.46,54,1.9,122,4.3
Wyoming,9/1/2020,451,293,65.0,-0.7,276,17,24.8,5.9,13,-27.8,4,1.33,6,2.2,14,5.2
Alabama,8/1/2020,3972,2284,57.5,0.2,2139,145,95.3,6.3,103,4.0,42,1.41,48,2.4,84,4.3
Alaska,8/1/2020,545,341,62.5,-2.2,315,26,35.6,7.6,17,-26.1,9,1.53,10,3.5,19,6.7
Arizona,8/1/2020,5672,3472,61.2,-0.7,3196,276,64.5,8.0,139,-9.2,137,1.99,65,2.3,101,3.6
Arkansas,8/1/2020,2348,1341,57.1,-0.8,1255,86,78.4,6.4,57,-10.9,29,1.50,32,2.6,52,4.2
California,8/1/2020,31224,18943,60.7,-2.4,16690,2253,161.7,11.9,711,-12.0,1542,3.17,301,1.9,684,4.4
Colorado,8/1/2020,4599,3034,66.0,-2.8,2846,188,89.8,6.2,108,-14.3,80,1.74,53,2.0,118,4.5
Connecticut,8/1/2020,2911,1871,64.3,-2.2,1692,179,139.2,9.6,57,-14.9,122,3.14,22,1.4,62,4.1
Delaware,8/1/2020,797,486,61.0,0.1,451,36,104.1,7.4,22,0.0,14,1.63,6,1.4,22,5.1
District of Columbia,8/1/2020,547,380,69.3,-1.9,348,32,40.8,8.4,39,30.0,-7,0.82,11,1.5,24,3.3
Florida,8/1/2020,17549,10062,57.3,-2.1,9170,893,189.6,8.9,389,-10.0,504,2.29,214,2.6,319,3.8
Georgia,8/1/2020,8324,4961,59.6,-3.3,4625,336,78.9,6.8,254,7.2,82,1.32,122,2.8,203,4.7
Hawaii,8/1/2020,1125,670,59.6,-1.6,582,88,485.0,13.2,25,-16.7,63,3.53,15,2.8,23,4.3
